feature_name,raw_field_index,raw_source_field,producer_code_path,consumer_code_path,transformation_path,role,availability_time,live_safe_status,evidence,notes
row_direction_balance_w10,,row_direction_balance_w10,ML/entry_path_feature_bank.py or lib_PIC feature bank,ML model input,aggregated parsed fractal window statistic,model_input,past_only_history,PASS,docs/ML/ml_leakage_preflight_checklist.md,Window feature derived from already exported fractal state.
row_back_mean_w10,,row_back_mean_w10,ML/entry_path_feature_bank.py or lib_PIC feature bank,ML model input,aggregated parsed fractal window statistic,model_input,past_only_history,PASS,docs/ML/ml_leakage_preflight_checklist.md,Window feature derived from already exported fractal state.
row_back_std_w10,,row_back_std_w10,ML/entry_path_feature_bank.py or lib_PIC feature bank,ML model input,aggregated parsed fractal window statistic,model_input,past_only_history,PASS,docs/ML/ml_leakage_preflight_checklist.md,Window feature derived from already exported fractal state.
row_impulse_mean_w10,,row_impulse_mean_w10,ML/entry_path_feature_bank.py or lib_PIC feature bank,ML model input,aggregated parsed fractal window statistic,model_input,past_only_history,PASS,docs/ML/ml_leakage_preflight_checklist.md,Window feature derived from already exported fractal state.
row_power_mean_w10,,row_power_mean_w10,ML/entry_path_feature_bank.py or lib_PIC feature bank,ML model input,aggregated parsed fractal window statistic,model_input,past_only_history,PASS,docs/ML/ml_leakage_preflight_checklist.md,Window feature derived from already exported fractal state.
row_count_mean_w10,,row_count_mean_w10,ML/entry_path_feature_bank.py or lib_PIC feature bank,ML model input,aggregated parsed fractal window statistic,model_input,past_only_history,PASS,docs/ML/ml_leakage_preflight_checklist.md,Window feature derived from already exported fractal state.
row_strong_share_w20,,row_strong_share_w20,ML/entry_path_feature_bank.py or lib_PIC feature bank,ML model input,aggregated parsed fractal window statistic,model_input,past_only_history,PASS,docs/ML/ml_leakage_preflight_checklist.md,Window feature derived from already exported fractal state.
row_break_share_w20,,row_break_share_w20,ML/entry_path_feature_bank.py or lib_PIC feature bank,ML model input,aggregated parsed fractal window statistic,model_input,past_only_history,PASS,docs/ML/ml_leakage_preflight_checklist.md,Window feature derived from already exported fractal state.
row_direction_balance_w20,,row_direction_balance_w20,ML/entry_path_feature_bank.py or lib_PIC feature bank,ML model input,aggregated parsed fractal window statistic,model_input,past_only_history,PASS,docs/ML/ml_leakage_preflight_checklist.md,Window feature derived from already exported fractal state.
row_back_mean_w20,,row_back_mean_w20,ML/entry_path_feature_bank.py or lib_PIC feature bank,ML model input,aggregated parsed fractal window statistic,model_input,past_only_history,PASS,docs/ML/ml_leakage_preflight_checklist.md,Window feature derived from already exported fractal state.
row_back_std_w20,,row_back_std_w20,ML/entry_path_feature_bank.py or lib_PIC feature bank,ML model input,aggregated parsed fractal window statistic,model_input,past_only_history,PASS,docs/ML/ml_leakage_preflight_checklist.md,Window feature derived from already exported fractal state.
row_impulse_mean_w20,,row_impulse_mean_w20,ML/entry_path_feature_bank.py or lib_PIC feature bank,ML model input,aggregated parsed fractal window statistic,model_input,past_only_history,PASS,docs/ML/ml_leakage_preflight_checklist.md,Window feature derived from already exported fractal state.
row_power_mean_w20,,row_power_mean_w20,ML/entry_path_feature_bank.py or lib_PIC feature bank,ML model input,aggregated parsed fractal window statistic,model_input,past_only_history,PASS,docs/ML/ml_leakage_preflight_checklist.md,Window feature derived from already exported fractal state.
row_count_mean_w20,,row_count_mean_w20,ML/entry_path_feature_bank.py or lib_PIC feature bank,ML model input,aggregated parsed fractal window statistic,model_input,past_only_history,PASS,docs/ML/ml_leakage_preflight_checklist.md,Window feature derived from already exported fractal state.
row_strong_share_w50,,row_strong_share_w50,ML/entry_path_feature_bank.py or lib_PIC feature bank,ML model input,aggregated parsed fractal window statistic,model_input,past_only_history,PASS,docs/ML/ml_leakage_preflight_checklist.md,Window feature derived from already exported fractal state.
row_break_share_w50,,row_break_share_w50,ML/entry_path_feature_bank.py or lib_PIC feature bank,ML model input,aggregated parsed fractal window statistic,model_input,past_only_history,PASS,docs/ML/ml_leakage_preflight_checklist.md,Window feature derived from already exported fractal state.
row_direction_balance_w50,,row_direction_balance_w50,ML/entry_path_feature_bank.py or lib_PIC feature bank,ML model input,aggregated parsed fractal window statistic,model_input,past_only_history,PASS,docs/ML/ml_leakage_preflight_checklist.md,Window feature derived from already exported fractal state.
row_back_mean_w50,,row_back_mean_w50,ML/entry_path_feature_bank.py or lib_PIC feature bank,ML model input,aggregated parsed fractal window statistic,model_input,past_only_history,PASS,docs/ML/ml_leakage_preflight_checklist.md,Window feature derived from already exported fractal state.
row_back_std_w50,,row_back_std_w50,ML/entry_path_feature_bank.py or lib_PIC feature bank,ML model input,aggregated parsed fractal window statistic,model_input,past_only_history,PASS,docs/ML/ml_leakage_preflight_checklist.md,Window feature derived from already exported fractal state.
row_impulse_mean_w50,,row_impulse_mean_w50,ML/entry_path_feature_bank.py or lib_PIC feature bank,ML model input,aggregated parsed fractal window statistic,model_input,past_only_history,PASS,docs/ML/ml_leakage_preflight_checklist.md,Window feature derived from already exported fractal state.
row_power_mean_w50,,row_power_mean_w50,ML/entry_path_feature_bank.py or lib_PIC feature bank,ML model input,aggregated parsed fractal window statistic,model_input,past_only_history,PASS,docs/ML/ml_leakage_preflight_checklist.md,Window feature derived from already exported fractal state.
row_count_mean_w50,,row_count_mean_w50,ML/entry_path_feature_bank.py or lib_PIC feature bank,ML model input,aggregated parsed fractal window statistic,model_input,past_only_history,PASS,docs/ML/ml_leakage_preflight_checklist.md,Window feature derived from already exported fractal state.
row_strong_share_w100,,row_strong_share_w100,ML/entry_path_feature_bank.py or lib_PIC feature bank,ML model input,aggregated parsed fractal window statistic,model_input,past_only_history,PASS,docs/ML/ml_leakage_preflight_checklist.md,Window feature derived from already exported fractal state.
row_break_share_w100,,row_break_share_w100,ML/entry_path_feature_bank.py or lib_PIC feature bank,ML model input,aggregated parsed fractal window statistic,model_input,past_only_history,PASS,docs/ML/ml_leakage_preflight_checklist.md,Window feature derived from already exported fractal state.
row_direction_balance_w100,,row_direction_balance_w100,ML/entry_path_feature_bank.py or lib_PIC feature bank,ML model input,aggregated parsed fractal window statistic,model_input,past_only_history,PASS,docs/ML/ml_leakage_preflight_checklist.md,Window feature derived from already exported fractal state.
row_back_mean_w100,,row_back_mean_w100,ML/entry_path_feature_bank.py or lib_PIC feature bank,ML model input,aggregated parsed fractal window statistic,model_input,past_only_history,PASS,docs/ML/ml_leakage_preflight_checklist.md,Window feature derived from already exported fractal state.
row_back_std_w100,,row_back_std_w100,ML/entry_path_feature_bank.py or lib_PIC feature bank,ML model input,aggregated parsed fractal window statistic,model_input,past_only_history,PASS,docs/ML/ml_leakage_preflight_checklist.md,Window feature derived from already exported fractal state.
row_impulse_mean_w100,,row_impulse_mean_w100,ML/entry_path_feature_bank.py or lib_PIC feature bank,ML model input,aggregated parsed fractal window statistic,model_input,past_only_history,PASS,docs/ML/ml_leakage_preflight_checklist.md,Window feature derived from already exported fractal state.
row_power_mean_w100,,row_power_mean_w100,ML/entry_path_feature_bank.py or lib_PIC feature bank,ML model input,aggregated parsed fractal window statistic,model_input,past_only_history,PASS,docs/ML/ml_leakage_preflight_checklist.md,Window feature derived from already exported fractal state.
row_count_mean_w100,,row_count_mean_w100,ML/entry_path_feature_bank.py or lib_PIC feature bank,ML model input,aggregated parsed fractal window statistic,model_input,past_only_history,PASS,docs/ML/ml_leakage_preflight_checklist.md,Window feature derived from already exported fractal state.
